round,model,name,content,seed,tokens,token_logprobs,token_ids,index
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Aardvark.,43,"['A', 'ard', 'v', 'ark', '.']","[-1.015625, -0.0004348755, -0.0005531311, 0.0, -3.046875]","[32, 569, 85, 847, 13]",0
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Kangaroo.,43,"['K', 'ang', 'aroo', '.', '<|eot_id|>']","[-0.55859375, -0.006713867, 0.0, -0.008605957, 0.0]","[42, 526, 76865, 13, 128009]",1
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Meerkat.,43,"['Me', 'erk', 'at', '.', '<|eot_id|>']","[-1.9140625, 0.0, 0.0, -0.0011672974, 0.0]","[7979, 17172, 266, 13, 128009]",2
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Cheetah.,43,"['C', 'heet', 'ah', '.', '<|eot_id|>']","[-2.0625, -0.00089645386, 0.0, -0.0005531311, 0.0]","[34, 3759, 1494, 13, 128009]",3
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Jaguar.,43,"['J', 'ag', 'uar', '.', '<|eot_id|>']","[-2.1875, 0.0, 0.0, -0.0011672974, 0.0]","[41, 351, 19253, 13, 128009]",4
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Puma.,43,"['P', 'uma', '.', '<|eot_id|>']","[-1.0859375, -0.11767578, -0.0019302368, 0.0]","[47, 13722, 13, 128009]",5
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Wolverine.,43,"['W', 'olver', 'ine', '.', '<|eot_id|>']","[-4.96875, -0.38671875, 0.0, -0.0004310608, 0.0]","[54, 8080, 483, 13, 128009]",6
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Mongoose.,43,"['M', 'ongoose', '.', '<|eot_id|>']","[-0.83984375, -0.001449585, -0.00033569336, 0.0]","[44, 11109, 13, 128009]",7
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Tapir.,43,"['Tap', 'ir', '.', '<|eot_id|>']","[-2.390625, 0.0, -0.00012302399, 0.0]","[24821, 404, 13, 128009]",8
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Numbat.,43,"['N', 'umb', 'at', '.', '<|eot_id|>']","[-1.6484375, -0.018188477, 0.0, -0.006713867, 0.0]","[45, 3635, 266, 13, 128009]",9
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Okapi,43,"['Ok', 'api', '<|eot_id|>']","[-0.5390625, 0.0, -5.25]","[11839, 2113, 128009]",10
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Quokka.,43,"['Qu', 'ok', 'ka', '.', '<|eot_id|>']","[-0.39257812, -0.0015258789, 0.0, -0.018188477, 0.0]","[2232, 564, 4657, 13, 128009]",11
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Fennec.,43,"['F', 'enn', 'ec', '.', '<|eot_id|>']","[-0.30078125, -0.011169434, 0.0, -0.018188477, 0.0]","[37, 2734, 762, 13, 128009]",12
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Axolotl.,43,"['Ax', 'ol', 'ot', 'l', '.']","[-1.40625, 0.0, 0.0, 0.0, -0.018188477]","[38942, 337, 354, 75, 13]",13
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Tarsier.,43,"['T', 'ars', 'ier', '.', '<|eot_id|>']","[-0.2734375, -0.030151367, 0.0, -0.005218506, 0.0]","[51, 1590, 1291, 13, 128009]",14
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Sugar Glider.,43,"['Sugar', ' Gl', 'ider', '.', '<|eot_id|>']","[-2.640625, -0.48242188, 0.0, -0.12695312, 0.0]","[84514, 8444, 1814, 13, 128009]",15
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Ostrich.,43,"['O', 'str', 'ich', '.', '<|eot_id|>']","[-1.5703125, -1.7265625, 0.0, -0.0005531311, 0.0]","[46, 496, 718, 13, 128009]",16
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Emu.,43,"['Em', 'u', '.', '<|eot_id|>']","[-1.2265625, -0.00026130676, -0.011047363, 0.0]","[2321, 84, 13, 128009]",17
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Cassowary.,43,"['C', 'ass', 'ow', 'ary', '.']","[-0.9765625, -0.030883789, 0.0, 0.0, -0.0040893555]","[34, 395, 363, 661, 13]",18
